# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
98 0.00 102.00 740.00 -7.29 -6.85
98 1.00 107.00 nan 6.83 -7.77
99 0.00 159.00 34.00 8.61 4.92
99 1.00 105.00 nan 8.48 5.01
100 0.00 124.00 nan 5.60 -8.25
101 nan nan nan nan nan
102 nan nan nan nan nan
103 0.00 133.00 580.00 9.95 2.03
103 1.00 108.00 280.00 3.54 -9.85
103 2.00 125.00 373.00 3.53 -9.61
103 3.00 118.00 nan 4.95 -2.83
104 nan nan nan nan nan
105 nan nan nan nan nan
106 0.00 216.00 nan 5.74 -8.51
107 0.00 182.00 nan 4.34 -8.01
108 nan nan nan nan nan
109 0.00 165.00 nan 10.92 0.05
110 nan nan nan nan nan
111 0.00 126.00 nan 5.80 -8.21
112 0.00 250.00 nan 6.65 -9.20
113 0.00 152.00 nan 9.99 -2.92
114 nan nan nan nan nan
115 nan nan nan nan nan
116 0.00 111.00 277.00 10.71 0.83
116 1.00 114.00 395.00 -5.20 7.10
116 2.00 130.00 nan -6.56 -7.23
117 nan nan nan nan nan
118 0.00 102.00 700.00 -0.24 -0.39
118 1.00 102.00 67.00 8.26 -6.50
118 2.00 112.00 nan 10.39 0.49
119 nan nan nan nan nan
120 0.00 116.00 nan 9.32 2.61
121 0.00 196.00 1707.00 -0.00 -0.52
121 1.00 116.00 870.00 -2.00 8.37
121 2.00 178.00 290.00 10.42 -2.17
121 3.00 205.00 115.00 6.39 6.92
121 4.00 203.00 133.00 8.65 -7.40
121 5.00 124.00 227.00 3.21 -9.92
121 6.00 116.00 nan 1.11 9.89
122 nan nan nan nan nan
123 0.00 141.00 935.00 -0.39 -0.13
123 1.00 110.00 446.00 -3.21 -9.91
123 2.00 151.00 95.00 9.36 -3.27
123 3.00 117.00 790.00 10.36 1.34
123 4.00 187.00 69.00 -0.68 9.13
123 5.00 131.00 nan -5.87 8.14
124 0.00 118.00 434.00 7.00 -8.01
124 1.00 103.00 nan 3.96 -10.64
125 0.00 147.00 1.00 9.60 -2.93
125 1.00 201.00 91.00 9.63 -2.68
125 2.00 106.00 536.00 3.83 9.23
125 3.00 353.00 nan 9.34 -3.66
126 0.00 116.00 1304.00 0.55 -0.43
126 1.00 121.00 1150.00 9.60 -5.45
126 2.00 157.00 nan 5.61 8.25
127 0.00 125.00 nan 0.81 8.13
128 0.00 108.00 394.00 -8.65 2.97
128 1.00 113.00 nan -5.03 7.50
129 0.00 210.00 nan 9.25 -5.80
130 0.00 118.00 nan -0.65 -0.37
131 0.00 135.00 nan 0.90 8.71
132 0.00 144.00 nan 7.62 -7.85
133 0.00 107.00 533.00 7.53 -8.41
133 1.00 109.00 nan 7.25 5.50
134 0.00 160.00 155.00 9.66 -3.70
134 1.00 113.00 nan 3.20 7.60
135 0.00 101.00 301.00 -3.41 -10.02
135 1.00 117.00 199.00 7.33 -8.40
135 2.00 149.00 40.00 9.90 -3.49
135 3.00 140.00 nan 10.27 0.96
136 0.00 136.00 nan 4.89 7.65
137 0.00 189.00 nan 9.88 1.48
138 nan nan nan nan nan
139 0.00 102.00 850.00 10.87 1.61
139 1.00 273.00 nan 10.33 0.45
140 0.00 206.00 470.00 7.91 -7.41
140 1.00 126.00 30.00 9.97 0.35
140 2.00 101.00 nan 9.82 0.31
141 0.00 167.00 89.00 8.58 -6.04
